Term,Variable,Description,Category1|Category2|...
"gmx do_dssp","Actually fix gmx do_dssp","A follow-up fix for the tool which was still broken","software"
"GMX_DSSP_PROGRAM_PATH","GMX_DSSP_PROGRAM_PATH","A new way to configure the default path for the dssp executable","identifier"
"gmx genrestr","Avoid segmentation fault in gmx genrestr","A fix for a memory access error in the tool","software"
"MSVC SIMD flags","Update MSVC SIMD flags","Newly supported SIMD flags that may improve performance on Windows","software"
"tinyxml2 linking","Fix error with tinyxml2 linking","A fix for an incorrect signature for linking this external library","software"
"non-dynamical integrator","Updated message on using GPU with non-dynamical integrator","A clearer message explaining why GPU PME/bonded forces are not supported with non-dynamical integrators","software"
"Ewald dipole correction","Ewald dipole correction incorrect without domain decomposition","A fix to disable this correction when not using domain decomposition, as it was incorrect","method"
"Expanded ensemble restarts","Expanded ensemble simulations restarted from checkpoints","A fix for a bug where restarted expanded ensemble simulations would not run","software"
"LJ PME free energy","Fixed free energy calculations with LJ PME","A fix for wrong long-range corrections with vdwtype=pme in free energy calculations","method"
"-update gpu","The velocities of the center of mass are now removed correctly in case of -update gpu","A fix for incorrect COM velocity removal when using GPU update","software"
"checkpoint restart","Fix checkpoint restart with non-zero initial step","A fix for ignoring the init-step mdp parameter on restart","software"
"gmx tool -tu","Time output unit fixes","A fix to produce the correct time unit string in xvg files for microseconds or larger","software"
"gmx do_dssp","Fix do_dssp","A fix for a segmentation fault in the tool","software"
"IBM_VSX support","Give clearer message about not detecting IBM_VSX support in gcc > 9","A fix to provide a more informative error message from CMake","software"
"initial DLB state","Fixed initial DLB state reporting","A fix for incorrect reporting of the initial dynamic load balancing state in the log file","software"
"mdrun -multidir","Fix fatal error with mdrun -multidir with more than 1 rank per simulation","A fix for a fatal error with this option","software"
"mdrun with multiple ranks and separate PME ranks","Fix deadlock in mdrun runs with multiple ranks and separate PME ranks","A fix for a deadlock that could occur before PP-PME balancing","software"
"mdrun with shells and GPU update","Avoid mdrun assertion failure when running with shells and update on a GPU","A fix to make mdrun fall back to CPU or error out when attempting this unsupported combination","software"
"mdrun MPI rank count","Allow large prime factors in the mdrun MPI rank count","A fix to allow domain decomposition to run with large prime factors in the MPI rank count","software"
"PME forces with FE","Actually fix PME forces with FE without perturbed q/LJ","A fix for incorrectly ignoring PME mesh forces on non-perturbed atoms in certain FE scenarios","software"
"missing DD interactions","Avoid deadlock when checking for missing DD interactions","A fix for a deadlock that occurred when missing bonded interactions were detected after domain decomposition","software"
"Parrinello-Rahman and md-vv checkpoints","Fix checkpoint restarts using Parrinello-Rahman and md-vv","A fix to allow reading checkpoints created with these methods in the modular simulator","software"
"orientation restraints","Avoid overzealous program abort with orientation restraints","A fix to prevent mdrun from aborting on checking orientation restraints in multiple molecules when none were applied","software"
"mdrun -multidir with shared state","Add fatal error for mdrun -multidir when simulations sharing state start at different step","A fix to issue a fatal error when simulations in a multi-simulation run start at different steps","software"
"skewed box with modular simulator","Correct skewed box using modular simulator without DD","A fix to check for overly skewed boxes when using the modular simulator without domain decomposition","software"
"NMR restraints with modular simulator","Fix NMR restraints using modular simulator","A fix for NMR restraints not working as expected under the modular simulator","software"
"integer overflow with dispersion correction","Avoid integer overflow when using dispersion correction","A fix for an integer overflow in the index type for dispersion correction","software"
"pairlist buffer on Intel GPUs","Fix too small pairlist buffer on Intel GPUs","A fix for a too-small pairlist buffer on Intel GPUs, which assumed a 4x4 instead of 4x2 atom-cluster pair kernel","software"
"checkpoint files out of sync","Fix checkpoint files getting out of sync with simulations sharing data","A fix to add an MPI barrier before renaming checkpoint files to prevent them from getting out of sync","software"
"graph and modular simulations","Fix simulations using graph and modular simulations","A fix for a segmentation fault when using the modular simulator and a graph object","software"
"COM removal with frozen atoms","Fix center of mass motion removal with frozen atoms","A fix to correctly remove completely frozen atoms from COM removal groups in grompp","software"
"temperature calculation with partial COM removal","Fix temperature calculation when center of mass motion is removed for part of the system","A fix for incorrectly lowered degrees of freedom in this uncommon case","software"
"undefined NB kernel types","Fix possible issue with picking undefined NB kernel types","A fix for missing definitions for specific CPU reference NB kernel types","software"
"ICC NextGen","Add support for ICC NextGen","Support for the Intel Compiler based on LLVM technology","software"
"OpenCL on Volta and Turing","Document known issues with OpenCL on Volta and Turing","Documentation of known issues with OpenCL on these NVIDIA GPU architectures","data source"
"modified source files in release tarballs","Fix check for modified source files in release tarballs","A fix to ensure modifications to the source tree are picked up after the build directory is generated","software"
"gmx nmr -viol option","Fix gmx nmr -viol option","A fix for a cryptic error and to enforce exclusivity with other analysis modes","software"
"gmx chi -chi_prod","Fixed gmx chi -chi_prod","A fix for a crash or garbage results when the number of relevant dihedrals differed from the number of residues","software"
"md-vv integrator","md-vv","An integrator for which issues with global reduction in the modular simulator were fixed","algorithm|integrator"
"gmx solvate","gmx solvate","A tool for which file permissions of temporary files were fixed","software"
