"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Multidimensional REMD Group Definition","group","Array defining the replica groupings for a specific dimension.","identifier|data format","yes","6703,7474,7642,11147,13607,13720,14011,14271,14411,14493,14593,16038,20667,21376,21509,21592,21593,21673,21680,21695,21696,21697,21806,52631,52636,61590,61663,64569,67416,68781,69661,69815,69954,70346,72314,73622,74436,76189,76202,76259,79575,79587,80699,80707,80715,80723,82837,84188,88433,92990,92995,93001,93006,96221,96239,98594,99074,99075,99132,99135,100614,100667,100675,101895,101899,101993,102044,103602,103612,104207,104219,104250,104285,104294,104334,104340,104353,104371,104412,104453,104599,104628,104643,105217,105222,105231,105446,105465,106736,106766,106801,116528,116531,116532,116553,118806,118986,127103,127104,127105","274"
"Multidimensional REMD File","-remd-file","Command-line flag specifying the multi-dimensional REMD input file.","identifier|software","yes","149371,149435,157292,157300,157314","6"
"fixremdcouts.py","fixremdcouts.py","A Python tool to reconstruct cpout/ceout files from any REMD simulation.","software","yes","157643,157659,157700,157751,157877","5"
"Potential of Mean Force","Potential of Mean Force","The free energy profile along a given reaction coordinate.","measure|state","yes","135421,157962","2"
"Non-equilibrium Free Energy Flag","infe","Flag to enable ABMD and related non-equilibrium free energy methods.","method|process","yes","159058,159078,159085,159093,159097,161727,162252,162573,162584,162590,163169,163697,164679,164889,165204,165212,165218","17"
"Collective Variable Type","cv_type","Keyword specifying the type of reaction coordinate (e.g., DISTANCE, ANGLE).","identifier|model","yes","159154,159161,159250,159290,159321,159590,160026,160432,160623,160659,160695,160731,160767,160809,160851,160893,161177,161786,162311,162341,162425,162455,163283,163830,164767,164797","26"
"Collective Variable Atom Indices","cv_i","List of atom indices defining a collective variable.","identifier|data format","yes","159172,159179,159260,159298,159330,159339,159345,159355,159361,159378,159427,159433,159464,159470,159479,159489,159500,159534,159568,159600,159693,159842,159849,159882,159929,160036,160460,160633,160669,160705,160741,160777,160819,160861,160903,161187,161796,162137,162316,162346,162430,162460,163288,163835,164772,164802","46"
"Collective Variable Real Parameters","cv_r","List of real number parameters for a collective variable.","measure|parameter","yes","159205,159212,159265,159302,159382,159605,159688,159700,159744,159774,159833,159886,159935,160041,160512,161197","16"
"Distance CV","DISTANCE","Reaction coordinate defined as the distance between two atoms.","measure|model","yes","9728,9732,15927,18627,18753,20059,20120,20665,20667,23411,23491,23631,25826,25852,25858,26617,27289,29335,32954,33255,33264,33644,33682,34769,36946,37849,38250,38293,38360,38678,38761,39459,39528,39715,41674,41676,41753,41755,41756,42143,42252,45289,48393,48535,48544,48706,48950,50731,50747,50750,50753,60214,61848,61895,62536,62552,62592,62593,62632,62650,63860,63866,63869,63870,64354,66066,66107,66184,68655,68657,68678,70718,70743,71100,75054,75131,75555,77432,77443,77470,77942,77946,78458,78486,78492,78520,78534,78560,78567,78574,78582,78586,78609,78709,83120,83136,83195,88407,93171,96310","266"
"Center of Mass Distance CV","COM_DISTANCE","Reaction coordinate defined as the distance between two centers of mass.","measure|model","yes","159336,159369","3"
"Difference of COM Distances CV","DF_COM_DISTANCE","Reaction coordinate defined as the difference of two COM distances.","measure|model","yes","159351,159365,165311","3"
"Linear Combination of Distances CV","LCOD","Reaction coordinate defined as a linear combination of distances.","measure|model","yes","159375,159398","2"
"Center of Mass Angle CV","COM_ANGLE","Reaction coordinate defined as the angle formed by three centers of mass.","measure|model","yes","159423","1"
"Torsion CV","TORSION","Reaction coordinate defined as the dihedral angle formed by four atoms.","measure|model","yes","5026,5248,5265,5292,5293,5438,7343,7525,7823,8283,8641,8660,8663,13541,45722,72881,73754,74053,76524,76812,76834,76844,76885,76926,77028,77029,77098,77432,79164,79504,79910,80300,80307,80315,80323,80331,81617,81618,81644,81646,81909,82126,82262,82294,82300,82336,82352,82353,82362,82383,82526,82530,82612,82710,82728,82743,82777,82831,82959,82984,83006,83060,84179,84184,84198,86958,88663,94038,94067,94701,94703,96036,97321,97401,97466,97513,97745,100329,100430,100432,100447,117324,117335,117390,117398,117589,117631,117655,122112,131353,131695,139603,146107,146219,146367,146518,146534,146907,147142,159439","146"
"Center of Mass Torsion CV","COM_TORSION","Reaction coordinate defined as the dihedral angle formed by four centers of mass.","measure|model","yes","159460","1"
"Sum of Cosines of Dihedrals CV","COS_OF_DIHEDRAL","Reaction coordinate defined as the sum of cosines of dihedral angles.","measure|model","yes","159476","1"
"Sum of Sines of Dihedrals CV","SIN_OF_DIHEDRAL","Reaction coordinate defined as the sum of sines of dihedral angles.","measure|model","yes","159486,165293","2"
"Paired Dihedral CV","PAIR_DIHEDRAL","Reaction coordinate based on the sum of cosines of adjacent dihedral pairs.","measure|model","yes","159496,159515,165299","3"
"Pattern Dihedral CV","PATTERN_DIHEDRAL","A pattern-recognizing function based on a list of dihedral angles.","measure|model","yes","159531,159552,165305","3"
"Radius of Gyration CV","R_OF_GYRATION","Reaction coordinate defined as the radius of gyration of a group of atoms.","measure|model","yes","159565","1"
"Multi-RMSD CV","MULTI_RMSD","Reaction coordinate defined as the RMS of RMSDs of several atom groups.","measure|model","yes","159590,159660,159677,160000","4"
"Number of Bonds CV","N_OF_BONDS","A switching function that counts the number of bonds formed between atom pairs.","measure|model","yes","159806,160004","2"
"Handedness CV","HANDEDNESS","A reaction coordinate that measures the chirality or handedness of a structure.","measure|model","yes","159857","1"
"Quaternion","QUATERNIONS","A four-component vector for describing orientational changes of atomistic domains","model|measure","yes","160153,160157,160169,160187,160212,160249,160266,160272,160282,160305,160335,160343,160412,160549,160563,160593,160598,160939,161134","20"
"Orientation Quaternion","orientation quaternion","A unit quaternion parametrizing the optimal rotation between coordinate sets","model|measure","yes","160157,160169,160249","3"
"ORIENTATION_ANGLE","ORIENTATION_ANGLE","The angle of rotation between current and reference positions","measure","yes","160272,160963,161004","3"
"ORIENTATION_PROJ","ORIENTATION_PROJ","The cosine of the angle of rotation between positions","measure","yes","160997,161012,161013,161289","4"
"TILT","TILT","Cosine of the rotation orthogonal to a given axis","measure","yes","160273,161056,161275,161278,161287,161297,161317,161345","9"
"SPINANGLE","SPINANGLE","Angle of rotation around a given unit axis","measure","yes","160273,161036,161108,161139,161143,161177,161251,161257","8"
"QUATERNION0","QUATERNION0","The scalar component (q0) of the orientation quaternion","measure|identifier","yes","160273,160279,160339,160341,160389,160432,160568,160599,160623,160767","10"
"QUATERNION1","QUATERNION1","The first vector component (q1) of the orientation quaternion","measure|identifier","yes","160273,160339,160659,160809","4"
"QUATERNION2","QUATERNION2","The second vector component (q2) of the orientation quaternion","measure|identifier","yes","160273,160339,160695,160851","4"
"QUATERNION3","QUATERNION3","The third vector component (q3) of the orientation quaternion","measure|identifier","yes","160273,160279,160340,160341,160389,160569,160599,160731,160893","9"
"q_index","q_index","An attribute to link and normalize quaternion CVs together","identifier","yes","160392,160397,160526,160591,160794,160836,160878,160920","8"
"&smd namelist","&smd","Namelist in the MDIN file to activate steered MD","data format","yes","159101,161370,161407,161741,162550,163440,163442,164532","8"
"Catmull-Rom spline","Catmull-Rom spline","A spline used for defining the steering path or harmonic constant","model|algorithm","yes","161529,161613","2"
"path_mode","path_mode","Defines how steering paths are constructed (SPLINE or LINES)","identifier","yes","161561,161568,161660,161801","4"
"harm","harm","Specifies the harmonic constant for the steering potential","measure","yes","161591,161598,161606,161611,161636,161806,193378","7"
"Umbrella Sampling","Umbrella sampling","A method using biasing potentials to enhance sampling along a coordinate","method|process","yes","2210,67390,106068,126261,127350,135420,151638,151642,151678,152041,157926,157968,157999,158040,158238,158244,159036,161858,161862,161912,162095,162189,162196,162387,165582,166004,214328","27"
"&pmd namelist","&pmd","Namelist in the MDIN file to activate umbrella sampling","data format","yes","159105,161874,161882,162266,162554,163505,164536,164555","8"
"anchor_position","anchor_position","Determines the boundaries of the umbrella harmonic potential","measure","yes","161923,162112,162204,162321,162351,162435,162465,164777,164807","9"
"anchor_strength","anchor_strength","Sets the harmonic constant for the umbrella potential","measure","yes","161951,161958,162120,162208,162326,162356,162440,162470,164550,164782,164812","11"
"&abmd namelist","&abmd","Namelist in the MDIN file to activate ABMD","data format","yes","159109,162529,162603,162821,162923,163055,163130,163183,163441,163501,163590,163631,163653,163657,165242","15"
"&bbmd namelist","&bbmd","Namelist for replica-exchange ABMD with different reaction coordinates","data format","yes","159113,162533,162607,163059,163565,163599,163609,163617,163661,163711,163868,163891,165246","13"
"FLOODING mode","FLOODING","ABMD execution mode where adaptive biasing is enabled","state|method","yes","158103,162631,162664,162689,162739,162741,162764,162898,162938,163188,163298,163361,163363,163430,163585","15"
"timescale","timescale","The flooding timescale (τF) in picoseconds for ABMD","measure|unit","yes","131980,158103,162723,162730,162739,163225,163363,185664,185739","9"
"Multiple-walker selection algorithm","multiple-walker selection algorithm","Improves ABMD simulation by resampling between different walkers","algorithm|method","yes","162913,162921","2"
"wt_temperature","wt_temperature","Sets the pseudo-temperature for well-tempered ABMD","measure","yes","163069,163076,163248","3"
"&stsm namelist","&stsm","Namelist in the MDIN file to invoke the STSM","data format","yes","159117,164140,164335,164693,164845,164903,164981","7"
"image","image","A node defining a point on the string in STSM","identifier|model","yes","16412,16416,16436,28162,49499,65545,67698,68589,107488,116048,134552,134598,134606,134618,134622,134735,134738,134872,134924,134925,134950,134962,134964,135004,140004,140074,164123,164126,164128,164161,164179,164196,164218,164233,164342,164347,164354,164375,164579,164584,164613,164643,164698,164908,165046,165052,165063,165069,165075,165086,165092,165098,165109,182519,182596,182635,182866,212241,216349,216350,216352","63"
"nfe-umbrella-slice","nfe-umbrella-slice","A utility to process and analyze biasing potential files from ABMD","software","yes","158293,159122,162902,163408,165342,165358,165367,165446,165474,165505","10"
"Jarzynski Relationship","Jarzynski relationship","Relates non-equilibrium work to equilibrium free energy differences","model|method","yes","165522,165608","2"
