"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"Virial","Ξ","A measure related to the internal pressure of a system","measure","yes","8,66,67,73,88,95,116,336,370,382,383,391,394,396,397,433,450,457,458,461,545,555,579,580,581,582,588,594,753,757,797,837,840,868,893,900,911","73","Lower-priority member of semantic cluster led by row 1233 (Champion: 'Virial')"
"VkFFT","VkFFT","A Vulkan-based FFT library","software","yes","13,23,28,30,735,766,770","32","Lower-priority member of semantic cluster led by row 1235 (Champion: 'VkFFT')"
"VkFFT support","VkFFT support","Integration of the VkFFT library for GPU FFTs on AMD GPUs","software","yes","23,766,770","4","Lower-priority member of semantic cluster led by row 1239 (Champion: 'VkFFT support')"
"VkFFT support","VkFFT support","Integration of the VkFFT library for improved GPU FFT performance, especially on AMD GPUs","software","yes","23,766,770","4","Lower-priority member of semantic cluster led by row 1239 (Champion: 'VkFFT support')"
"VkFFT support","VkFFT support","Integration of the VkFFT library to provide performance improvements for GPU FFTs, especially on AMD GPUs","software","yes","23,766,770","4","Lower-priority member of semantic cluster led by row 1239 (Champion: 'VkFFT support')"
"VMD (Visual Molecular Dynamics)","VMD","A molecular visualization program","software","no","","0","Lower-priority member of semantic cluster led by row 1241 (Champion: 'VMD')"
"Virtual site database file","vsd","A database file containing parameters for virtual site construction","data format","no","","0","Lower-priority member of semantic cluster led by row 1243 (Champion: 'Virtual site database')"
"webpage target","webpage","A collection target that generates the full HTML documentation website","software","yes","649,651,676","3","Lower-priority member of semantic cluster led by row 1245 (Champion: 'webpage target')"
"webpage-sphinx target","webpage-sphinx","A build target that generates the Sphinx-based parts of the HTML documentation","software","no","","0","Lower-priority member of semantic cluster led by row 1247 (Champion: 'webpage-sphinx target')"
"x86 MIC","x86 MIC","A removed architecture (Intel Many Integrated Core)","software","yes","793,812","2","Lower-priority member of semantic cluster led by row 1249 (Champion: 'x86 MIC')"
"Xeon Phi","Xeon Phi","An Intel accelerator for which support is deprecated","software","yes","2,26,37,114,727,747","12","Lower-priority member of semantic cluster led by row 1251 (Champion: 'Xeon Phi')"
"XPixMap file","xpm","A file format used for storing matrix data","data format","no","","0","Lower-priority member of semantic cluster led by row 1253 (Champion: 'XPM matrix file')"
"Grace/Xmgr file","xvg","A file format for 2D plotting","data format","no","","0","Lower-priority member of semantic cluster led by row 1256 (Champion: 'XVG plot file')"
"Zero-point energy","Zero-point energy","The lowest possible energy that a quantum mechanical system may have","measure","yes","191,236,365,850","4","Lower-priority member of semantic cluster led by row 1257 (Champion: 'Zero-point energy')"
"Zwitterionic","zwitterionic","A molecule with both positive and negative charges, but a net charge of zero","state","yes","246","1","Lower-priority member of semantic cluster led by row 1259 (Champion: 'Zwitterionic')"
"Reference coordinate","λ","A discrete coordinate coupled to the continuous reaction coordinate in AWH","measure|state","yes","67,515,524","3","Lower-priority member of semantic cluster led by row 123 (Champion: 'Coupling parameter')"
"Replica-exchange","replex","A simulation method that exchanges configurations between replicas at different temperatures","method|algorithm","yes","95,96,588,589,785,909,912,913","10","Lower-priority member of semantic cluster led by row 1079 (Champion: 'Replica exchange')"
"CUDA-graphs","CUDA-graphs","A CUDA feature to reduce CPU overhead by defining a persistent graph of operations","software|method","yes","112","1","Lower-priority member of semantic cluster led by row 2232 (Champion: 'CUDA Graphs')"
"Block averaging","block averaging","A method to estimate statistical errors from correlated data","method","yes","136","1","Lower-priority member of semantic cluster led by row 1994 (Champion: 'Block-averaging')"
"gmx-extract-cluster","gmx-extract-cluster","A GROMACS tool to extract frames belonging to a specific cluster","software","yes","126","1","Lower-priority member of semantic cluster led by row 1444 (Champion: 'gmx extract-cluster')"
"gmx-freevolume","gmx-freevolume","A GROMACS tool to calculate the free volume of a system","software","yes","126","1","Lower-priority member of semantic cluster led by row 1446 (Champion: 'gmx freevolume')"
"gmx-hbond","gmx-hbond","A GROMACS tool to analyze hydrogen bonds","software","yes","127,130","2","Lower-priority member of semantic cluster led by row 344 (Champion: 'gmx hbond')"
"gmx-gyrate","gmx-gyrate","A GROMACS tool to calculate the radius of gyration","software","yes","127,130","2","Lower-priority member of semantic cluster led by row 332 (Champion: 'gmx gyrate')"
"gmx-genconf","gmx-genconf","A GROMACS tool to generate multiple conformations of a molecule","software","yes","127","1","Lower-priority member of semantic cluster led by row 1448 (Champion: 'gmx genconf')"
"gmx-genion","gmx-genion","A GROMACS tool to add ions to a system","software","yes","127,131","2","Lower-priority member of semantic cluster led by row 324 (Champion: 'gmx genion')"
"gmx-genrestr","gmx-genrestr","A GROMACS tool to generate position or distance restraints","software","yes","127","1","Lower-priority member of semantic cluster led by row 328 (Champion: 'gmx genrestr')"
"gmx-convert-tpr","gmx-convert-tpr","A GROMACS tool to modify a run input file","software","yes","127","1","Lower-priority member of semantic cluster led by row 2240 (Champion: 'convert-tpr')"
"gmx-enemat","gmx-enemat","A GROMACS tool to extract an energy matrix from an energy file","software","yes","128","1","Lower-priority member of semantic cluster led by row 1439 (Champion: 'gmx enemat')"
"gmx-energy","gmx-energy","A GROMACS tool to extract and analyze energy terms from a simulation","software","yes","128","1","Lower-priority member of semantic cluster led by row 407 (Champion: 'gmx potential')"
"gmx-eneconv","gmx-eneconv","A GROMACS tool to convert energy files","software","yes","128","1","Lower-priority member of semantic cluster led by row 1438 (Champion: 'gmx eneconv')"
"gmx-confrms","gmx-confrms","A GROMACS tool to calculate RMSD between two structures","software","yes","129","1","Lower-priority member of semantic cluster led by row 1412 (Champion: 'gmx confrms')"
"gmx-gyrate-legacy","gmx-gyrate-legacy","A legacy version of the gmx-gyrate tool","software","yes","130","1","Lower-priority member of semantic cluster led by row 336 (Champion: 'gmx gyrate-legacy')"
"gmx-clustsize","gmx-clustsize","A GROMACS tool to calculate cluster size distributions","software","yes","130","1","Lower-priority member of semantic cluster led by row 1411 (Champion: 'gmx clustsize')"
"gmx-disre","gmx-disre","A GROMACS tool to analyze distance restraints","software","yes","130","1","Lower-priority member of semantic cluster led by row 307 (Champion: 'gmx disre')"
"gmx-hbond-legacy","gmx-hbond-legacy","A legacy version of the gmx-hbond tool","software","yes","130","1","Lower-priority member of semantic cluster led by row 346 (Champion: 'gmx hbond-legacy')"
"gmx-dos","gmx-dos","A GROMACS tool to analyze density of states","software","yes","131","1","Lower-priority member of semantic cluster led by row 1422 (Champion: 'gmx dos')"
"gmx-helix","gmx-helix","A GROMACS tool to calculate basic properties of alpha-helices","software","yes","132","1","Lower-priority member of semantic cluster led by row 351 (Champion: 'gmx helix')"
"gmx-helixorient","gmx-helixorient","A GROMACS tool to analyze the orientation of helices","software","yes","132","1","Lower-priority member of semantic cluster led by row 353 (Champion: 'gmx helixorient')"
"gmx-densmap","gmx-densmap","A GROMACS tool to calculate 2D density maps","software","yes","132","1","Lower-priority member of semantic cluster led by row 1417 (Champion: 'gmx densmap')"
"gmx-densorder","gmx-densorder","A GROMACS tool to calculate surface fluctuations","software","yes","132","1","Lower-priority member of semantic cluster led by row 303 (Champion: 'gmx densorder')"
"gmx-h2order","gmx-h2order","A GROMACS tool to compute the orientation of water molecules","software","yes","132","1","Lower-priority member of semantic cluster led by row 339 (Champion: 'gmx h2order')"
"gmx-covar","gmx-covar","A GROMACS tool to calculate and diagonalize a covariance matrix","software","yes","132","1","Lower-priority member of semantic cluster led by row 297 (Champion: 'gmx covar')"
"Multiple-time-stepping","multiple-time-stepping scheme","An integration scheme using different timesteps for different forces","algorithm|method","yes","52,461,845","5","Lower-priority member of semantic cluster led by row 934 (Champion: 'Multiple Time-Stepping')"
"Topology file","top","Main GROMACS file describing molecular topology and system composition","data format","yes","42,43,44,80,118,121,180,185,199,202,203,228,247,254,267,279,310,311,324,356,357,425,435,437,440,441,464,465,467,469,470,471,473,478,483,486,492,503,508,539,549,835,842,850","77","Lower-priority member of semantic cluster led by row 1202 (Champion: 'Topology')"
