[Term],[Variable],[Description],[Category1|Category2|...]
"Calculate SASA","calc_sasa","Flag to request the calculation of solvent accessible surface area","process"
"extract_LIEenergies.pl","extract_LIEenergies.pl","A Perl script to extract final energies from LIE output","software"
"Thermodynamic Integration","TI","A free energy method calculating dG by integrating over lambda","method|model"
"Soft Core Potential","soft core","A modified potential to avoid singularities during alchemical transformations","model"
"TI Simulation Setup","ti_simulation_setup","Flag to request the setup of files for a TI simulation","process"
"Ligand Name V0","lig_name_v0_struct","Name of the ligand in the initial alchemical state (V0)","identifier"
"Ligand Name V1","lig_name_v1_struct","Name of the ligand in the final alchemical state (V1)","identifier"
"Ligand Alias V0","lig_alias_v0","A three-character alias for the ligand in the V0 state","identifier"
"Ligand Alias V1","lig_alias_v1","A three-character alias for the ligand in the V1 state","identifier"
"Softcore Mask V0","softcore_mask_v0","Atom selection mask for the softcore potential in state V0","identifier|model"
"Softcore Mask V1","softcore_mask_v1","Atom selection mask for the softcore potential in state V1","identifier|model"
"Use PMEMD","use_pmemd","Flag to specify using the PMEMD engine for simulations","identifier|software"
"Prepare Match List","prepare_match_list","Request to generate a list of corresponding non-softcore atoms","process"
"Prepare Inpcrd/Prmtop","prepare_inpcrd_prmtop","Request to generate Amber coordinate and topology files for TI","process"
"Coordinate File","inpcrd","An Amber file format for atomic coordinates","data format"
"Restart File","restrt","An Amber file format containing coordinates, velocities, and box vectors","data format"
"Topology File","prmtop","An Amber file format containing force field parameters and topology","data format"
"TI Equilibration","ti_equil","Flag to request setup of the TI equilibration phase","process"
"TI Equilibration Lambda","ti_equil_lambda","The set of lambda values to be used during TI equilibration","identifier|state"
"Lambda","λ","The coupling parameter that controls the alchemical transformation state","measure|state"
"TI Production","ti_production","Flag to request setup of the TI production simulation phase","process"
"TI Production Lambda","ti_prod_lambda","The set of lambda values to be used during TI production","identifier|state"
"Total TI Production Time","total_ti_prod_time","The total simulation time requested for each lambda window","measure"
"Convergence Check Method","converge_check_method","Specifies the statistical method for checking TI simulation convergence","method|identifier"
"Convergence Error Limit","converge_error_limit","The numerical threshold used as a termination criterion for convergence","measure"
"TI ddG Calculation","ti_ddG","Request to calculate the final relative binding free energy (ddG)","process"
"dV/dλ","dV/dλ","The derivative of the potential energy with respect to lambda","measure"
"Kruskal's Algorithm","Kruskal","An algorithm to find a minimum spanning tree in a graph","algorithm"
"identify_transformations.pl","identify_transformations.pl","A script that uses Kruskal's algorithm to find optimal transformations","software"
"TanimotoCombo Score","TanimotoCombo score","A molecular similarity score combining shape and chemical features","measure"
"ROCS","ROCS","Rapid Overlay of Chemical Structures, a shape-based alignment software","software"
"kcal/mol","kcal/mol","Unit of energy commonly used in molecular simulations","unit"
"Angstrom","Å","Unit of length commonly used for atomic distances","unit"
"nanosecond","ns","Unit of time commonly used for simulation length","unit"
"Molar","M","Unit of concentration","unit"
"BAR/PBSA","BAR/PBSA","Method to post-process alchemical simulations incorporating continuum polarization effects","method|model"
"Poisson-Boltzmann","Poisson-Boltzmann","A model for calculating electrostatic interactions in a continuum solvent","model|method"
"Solute Dielectric Constant","epsin","The dielectric constant inside the solute molecule for PBSA calculations","measure|model"
"Additive Force Field","additive force fields","Force fields that do not explicitly model electronic polarization","model"
"Polarizable Force Field","polarizable force field","Force fields that explicitly account for electronic polarization","model"
"Ligand Radii Scaling Factor","radiscale","A PBSA keyword to scale the atomic radii of a ligand","identifier|model"
"Protein Radii Scaling Factor","protscale","A PBSA keyword to scale the atomic radii of a protein","identifier|model"
"bar_pbsa.py","bar_pbsa.py","A Python script to automate BAR/PBSA analysis from alchemical simulations","software"
"Bennett Acceptance Ratio","BAR","A method for calculating free energy differences between two states","method|algorithm"
"YAML","YAML","A human-readable data serialization format used for input files","data format"
"Destination Path","dest_path","Location to output processed trajectories and calculation results","identifier"
"Complex Trajectory Paths","complex_paths","Paths to explicit solvent trajectories for the complex system","data source|identifier"
"Ligand Trajectory Paths","ligand_paths","Paths to explicit solvent trajectories for the ligand system","data source|identifier"
"Ligand Amber Mask","ligand_mask","An Amber selection string to identify ligand atoms","identifier"
"Ion Decharge","ion_decharge","Boolean flag to perform counter-ion decharging for charge neutrality","process|identifier"
"Last Half Frames","last_half_frames","Boolean flag to use only the second half of trajectory frames","process|identifier"
"Frame Subsampling Stride","stride","Step size for subsampling frames from a trajectory","identifier"
"Ligand Residue Name","ligand_res","The residue name of the ligand used to apply radii scaling","identifier"
"Salt Concentration","istrng","The salt concentration in mM for PBSA calculations","measure"
"Ligand/Complex Selector","ligcom","Option to specify whether 'ligand' or 'complex' trajectories are processed","identifier"
"Delete Trajectory","del_traj","Boolean flag to delete intermediate trajectories to save disk space","process|identifier"
"edgembar","edgembar","A program to calculate alchemical free energies using MBAR and TI","software"
"Multistate Bennett Acceptance Ratio","MBAR","A statistical method for calculating free energies from multiple states","method|algorithm"
"Thermodynamic Integration","thermodynamic integration","A method to calculate free energy by integrating dV/dλ","method|algorithm"
"FE-ToolKit","FE-ToolKit","A library of tools for free energy calculations","software"
"edgembar.OMP","edgembar.OMP","The OpenMP parallelized version of the edgembar program","software"
"Welch's T-test","Welch T-test","A statistical test to determine if two populations have equal means","method"
"p-value tolerance","ptol","The significance level used in the Welch T-test for equilibration detection","measure|identifier"
"Exponential Averaging","exponential averaging","A method to estimate free energy differences, also known as Zwanzig's equation","method|algorithm"
"edgembar-amber2dats.py","edgembar-amber2dats.py","A script to extract DVDL and MBAR data from Amber mdout files","software"
"edgembar-WriteGraphHtml.py","edgembar-WriteGraphHtml.py","A script to perform network analysis and generate an HTML report","software"
"edgembar-bookend2dats.py","edgembar-bookend2dats.py","A script to extract data from MM to QM/MM transformation simulations","software"
"Nonequilibrium Work","nonequilibrium work","Work values from non-equilibrium processes, used in Jarzynski's equality","measure"
"fetkutils-tischedule.py","fetkutils-tischedule.py","A script to optimize the schedule of alchemical states for simulations","software"
"Phase Space Overlap","Phase space overlap (PSO)","A measure of the overlap between distributions of adjacent alchemical states","measure"
